,title,url
0,地方病 (日本住血吸虫症),https://ja.wikipedia.org/wiki/%E5%9C%B0%E6%96%B9%E7%97%85_(%E6%97%A5%E6%9C%AC%E4%BD%8F%E8%A1%80%E5%90%B8%E8%99%AB%E7%97%87)
1,三毛別羆事件,https://ja.wikipedia.org/wiki/%E4%B8%89%E6%AF%9B%E5%88%A5%E7%BE%86%E4%BA%8B%E4%BB%B6
2,八甲田雪中行軍遭難事件,https://ja.wikipedia.org/wiki/%E5%85%AB%E7%94%B2%E7%94%B0%E9%9B%AA%E4%B8%AD%E8%A1%8C%E8%BB%8D%E9%81%AD%E9%9B%A3%E4%BA%8B%E4%BB%B6
3,俺の尻をなめろ,https://ja.wikipedia.org/wiki/%E4%BF%BA%E3%81%AE%E5%B0%BB%E3%82%92%E3%81%AA%E3%82%81%E3%82%8D
4,ロシア的倒置法,https://ja.wikipedia.org/wiki/%E3%83%AD%E3%82%B7%E3%82%A2%E7%9A%84%E5%80%92%E7%BD%AE%E6%B3%95
5,世界で一番笑えるジョーク,https://ja.wikipedia.org/wiki/%E4%B8%96%E7%95%8C%E3%81%A7%E4%B8%80%E7%95%AA%E7%AC%91%E3%81%88%E3%82%8B%E3%82%B8%E3%83%A7%E3%83%BC%E3%82%AF
6,沢田マンション,https://ja.wikipedia.org/wiki/%E6%B2%A2%E7%94%B0%E3%83%9E%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%B3
7,ヒトラー女性化計画,https://ja.wikipedia.org/wiki/%E3%83%92%E3%83%88%E3%83%A9%E3%83%BC%E5%A5%B3%E6%80%A7%E5%8C%96%E8%A8%88%E7%94%BB
8,坂上田村麻呂黒人説,https://ja.wikipedia.org/wiki/%E5%9D%82%E4%B8%8A%E7%94%B0%E6%9D%91%E9%BA%BB%E5%91%82%E9%BB%92%E4%BA%BA%E8%AA%AC
9,放屁師,https://ja.wikipedia.org/wiki/%E6%94%BE%E5%B1%81%E5%B8%AB
10,庭園隠者,https://ja.wikipedia.org/wiki/%E5%BA%AD%E5%9C%92%E9%9A%A0%E8%80%85
11,ロマ,https://ja.wikipedia.org/wiki/%E3%83%AD%E3%83%9E
12,5秒ルール,https://ja.wikipedia.org/wiki/5%E7%A7%92%E3%83%AB%E3%83%BC%E3%83%AB
13,ヌル島,https://ja.wikipedia.org/wiki/%E3%83%8C%E3%83%AB%E5%B3%B6
14,役に立たない機械,https://ja.wikipedia.org/wiki/%E5%BD%B9%E3%81%AB%E7%AB%8B%E3%81%9F%E3%81%AA%E3%81%84%E6%A9%9F%E6%A2%B0
15,ハンガリー人宇宙人説,https://ja.wikipedia.org/wiki/%E3%83%8F%E3%83%B3%E3%82%AC%E3%83%AA%E3%83%BC%E4%BA%BA%E5%AE%87%E5%AE%99%E4%BA%BA%E8%AA%AC
16,モービル天ぷら,https://ja.wikipedia.org/wiki/%E3%83%A2%E3%83%BC%E3%83%93%E3%83%AB%E5%A4%A9%E3%81%B7%E3%82%89
17,アーグルトン,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%BC%E3%82%B0%E3%83%AB%E3%83%88%E3%83%B3
18,ニカラグア手話,https://ja.wikipedia.org/wiki/%E3%83%8B%E3%82%AB%E3%83%A9%E3%82%B0%E3%82%A2%E6%89%8B%E8%A9%B1
19,ナウル共和国,https://ja.wikipedia.org/wiki/%E3%83%8A%E3%82%A6%E3%83%AB
20,オダギリ効果,https://ja.wikipedia.org/wiki/%E3%82%AA%E3%83%80%E3%82%AE%E3%83%AA%E5%8A%B9%E6%9E%9C
21,志布志町志布志,https://ja.wikipedia.org/wiki/%E5%BF%97%E5%B8%83%E5%BF%97%E7%94%BA%E5%BF%97%E5%B8%83%E5%BF%97
